,direc,y_x,score
168,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_7_14,0.91404843
169,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_27_29,0.15273553
170,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_29_19,0.38217115
171,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_12_9,0.019969082
172,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_30_1,0.9221026
173,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_9_28,0.36864966
174,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_19_22,0.48314795
175,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_24_32,0.15130875
176,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_18_8,0.041279025
177,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_2_14,0.007977003
178,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_7_3,0.0078121945
179,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_3_16,0.652037
180,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_8_15,0.9185894
181,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_18_15,0.40148845
182,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_6_10,0.94915485
183,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_8_30,0.15449886
184,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_10_4,0.008944799
185,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_32_21,0.14758706
186,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_29_12,0.41260475
187,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_7_12,0.94578767
188,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_21_15,0.9762531
189,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_26_7,0.4143882
190,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_30_25,0.28848815
191,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_6_20,0.61390823
192,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_30_10,0.8921577
193,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_6_14,0.035059668
194,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_14_14,0.38307267
195,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_19_23,0.8747515
196,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_23_4,0.8543316
197,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_18_23,0.9142672
198,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_16_30,0.21239594
199,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_4_13,0.034372065
200,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_32_26,0.13205443
201,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_16_11,0.93086445
202,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_4_21,0.41834754
203,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_32_14,0.91335666
204,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_20_13,0.9469292
205,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_23_9,0.6475594
206,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_24_18,0.9549426
207,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_30_24,0.30606183
208,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_28_5,0.9463667
209,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_7_1,0.008543172
210,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_17_1,0.019521993
211,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_11_30,0.35049245
212,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_25_1,0.9165119
213,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_17_14,0.9468942
214,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_28_22,0.29164237
215,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_27_22,0.27811775
216,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_13_12,0.06338344
217,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_27_5,0.6640662
218,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_29_16,0.41735497
219,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_24_23,0.74430114
220,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_28_15,0.341063
221,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_4_31,0.15096554
222,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_12_3,0.4059813
223,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_29_17,0.41585356
224,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_16_27,0.12488429
225,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_31_25,0.23866394
226,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_27_6,0.36640033
